獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號
3,8,9,19,20,22,25,26,28,29,32,37,40,41,44,46,49,52,54,63,8
5,6,17,21,23,24,26,36,43,45,53,58,59,60,66,67,70,71,75,78,43
3,5,11,23,25,26,27,29,38,40,41,44,46,48,50,65,67,73,74,76,65
6,7,10,15,19,21,29,37,45,51,53,54,60,61,64,66,69,70,76,80,64
2,12,13,16,17,18,19,23,30,32,37,44,45,49,50,54,62,65,68,70,62
3,16,18,20,22,24,25,26,31,40,41,43,50,57,62,64,68,71,74,75,64
2,6,13,33,36,40,42,43,44,47,59,62,65,67,74,76,77,78,79,80,59
1,6,7,10,16,17,28,32,39,43,48,56,65,66,67,68,69,70,71,73,39
1,4,6,9,13,22,24,27,36,41,47,49,50,52,61,62,64,72,73,78,41
2,3,12,17,27,29,31,36,42,43,46,47,48,53,55,59,61,73,78,79,36
3,4,20,21,24,32,36,39,41,44,51,52,58,66,69,73,74,75,76,80,4
3,9,12,14,17,19,23,25,26,32,33,38,40,45,56,58,59,71,72,75,75
8,9,13,17,35,37,38,41,47,49,52,55,60,62,68,70,74,76,77,80,47
4,6,8,12,17,20,22,23,24,30,34,41,51,58,59,60,61,69,70,73,8
1,9,10,14,19,22,26,29,32,34,36,38,42,55,56,57,65,70,73,75,38
1,4,11,13,15,25,27,30,32,35,37,43,50,55,59,61,72,75,79,80,32
1,3,10,13,16,17,23,24,28,30,41,44,46,52,57,58,61,66,70,73,58
3,4,13,15,19,30,32,37,39,42,43,44,45,61,62,66,67,69,72,77,3
2,9,10,11,17,20,22,32,35,38,39,45,48,50,51,61,68,70,73,75,11
3,6,15,21,30,32,43,44,46,48,49,54,55,56,58,60,67,70,76,79,70
5,8,12,19,23,27,28,38,41,43,49,56,60,61,64,70,72,73,74,80,56
1,4,10,17,23,30,32,36,37,38,39,41,43,45,53,56,58,65,75,80,80
1,5,9,14,18,19,24,29,32,36,39,44,47,49,55,57,66,75,77,79,19
3,5,7,21,23,26,31,34,35,37,39,47,48,51,52,62,63,66,72,76,52
4,9,13,14,17,18,26,27,30,34,38,50,51,52,53,57,64,68,71,79,79
3,5,6,17,29,35,39,40,41,42,44,50,53,54,55,62,63,64,66,78,54
3,7,8,14,17,20,22,31,33,34,36,47,55,57,59,60,69,71,73,75,34
5,10,19,21,22,27,28,36,39,42,46,49,55,57,62,66,67,69,71,73,73
4,6,8,12,18,26,29,39,47,48,49,56,59,65,69,70,72,73,79,80,69
4,5,15,17,21,23,32,36,40,45,52,54,58,60,61,62,63,69,76,77,54
1,7,8,17,18,20,21,22,24,26,39,48,49,54,56,57,61,62,63,64,26
4,13,14,15,17,23,25,26,36,42,44,45,53,55,58,61,64,70,72,73,44
4,7,9,16,24,25,27,33,40,45,49,50,53,59,62,64,65,77,78,79,4
2,6,7,9,10,14,16,22,33,34,41,49,52,58,60,61,70,72,73,79,9
3,6,7,10,12,14,19,22,24,33,44,45,54,55,59,61,64,70,77,80,6
1,15,16,17,22,23,24,25,28,30,31,36,39,44,55,59,72,74,77,79,55
1,3,7,11,21,28,31,35,39,41,42,48,51,52,55,63,65,72,76,78,51
3,5,15,17,21,39,41,46,57,60,61,63,64,67,68,70,71,73,79,80,67
5,12,22,23,24,26,28,31,32,33,34,51,54,56,58,66,69,72,74,75,12
4,5,12,15,18,22,23,24,26,28,32,36,39,48,51,63,65,66,72,73,23
3,12,19,21,22,24,32,36,39,40,42,50,51,56,61,62,63,70,74,77,40
3,9,10,16,19,33,37,41,42,45,49,53,56,60,65,66,68,73,78,80,78
3,7,8,10,11,13,15,17,18,36,38,48,49,60,62,65,70,73,75,80,70
1,3,6,11,12,15,19,24,27,34,38,40,41,49,55,63,68,71,72,76,1
3,7,15,19,22,24,30,33,40,41,43,44,48,52,53,54,55,56,62,78,19
5,6,8,10,11,12,15,17,25,26,35,40,43,44,46,53,54,55,57,75,40
1,4,5,6,7,15,20,21,22,30,36,45,50,52,53,55,57,71,74,79,6
3,5,6,9,12,16,17,18,19,25,29,32,33,39,45,61,62,66,69,78,61
2,6,9,27,28,29,35,44,46,47,52,54,57,59,64,65,67,72,75,79,67
1,2,10,11,15,16,25,29,32,39,48,54,58,60,61,64,65,70,72,75,61
2,3,5,6,13,18,25,28,29,33,35,36,38,40,45,48,50,56,58,76,13
1,7,14,15,19,21,26,29,30,31,32,33,34,40,48,50,55,60,69,71,33
10,14,20,25,28,29,31,32,38,42,47,52,58,63,70,72,74,75,77,79,10
4,6,8,18,21,25,27,30,33,34,38,42,45,58,60,62,70,74,78,79,6
1,4,6,8,18,21,24,27,31,32,34,37,43,46,52,56,57,68,75,77,75
6,7,8,17,18,19,21,27,34,38,39,60,65,67,69,71,72,74,79,80,39
4,5,13,15,17,18,21,23,29,31,39,40,42,43,51,54,58,69,70,80,43
2,7,10,20,21,24,31,32,34,35,39,40,46,50,54,58,66,75,77,80,75
6,8,11,13,14,17,18,20,22,28,29,34,37,47,53,56,62,63,72,75,13
3,7,10,11,16,19,20,31,33,35,41,45,47,51,56,58,64,70,71,79,71
2,17,22,24,28,37,43,44,45,47,48,51,54,57,58,65,66,69,71,78,57
3,5,11,16,19,25,35,44,45,46,49,50,57,60,61,65,67,68,75,78,19
3,12,15,18,20,22,25,26,27,33,34,37,44,55,58,62,65,69,71,77,37
1,8,9,12,15,20,21,23,26,32,36,38,40,44,50,55,58,63,68,70,21
3,4,8,11,16,18,22,30,36,40,41,42,43,44,45,62,70,73,75,78,45
4,6,14,16,19,26,35,40,44,46,51,52,54,58,66,67,70,75,78,79,35
5,14,16,17,19,20,25,32,38,42,46,52,55,58,60,64,65,68,70,73,73
1,18,19,24,25,27,28,32,37,38,40,42,44,48,57,58,62,66,70,77,18
5,6,8,18,20,21,28,29,38,43,44,45,47,51,53,64,65,69,70,71,64
1,2,4,6,13,15,27,30,31,36,39,41,42,44,46,52,61,72,74,80,27
4,5,7,8,11,14,21,29,36,37,38,41,42,46,57,65,66,67,73,78,5
4,22,23,24,25,28,30,31,33,51,53,54,61,62,64,65,70,72,76,77,51
1,16,19,21,30,34,38,44,45,50,52,53,54,55,58,62,63,71,74,80,71
1,3,6,15,20,26,28,36,42,48,49,53,54,56,59,61,64,65,73,78,26
2,5,7,8,19,24,30,32,37,40,41,42,43,44,50,57,67,69,75,76,44
1,4,13,19,20,23,33,36,44,45,50,51,54,58,60,63,64,65,74,75,65
1,4,9,11,13,23,25,26,27,28,29,30,36,45,51,60,63,65,72,74,72
12,15,16,19,26,27,28,29,36,37,55,58,59,60,63,64,68,71,75,77,27
1,5,9,11,12,13,15,20,27,30,39,46,48,49,50,54,57,62,73,80,62
7,11,16,17,19,21,33,39,40,41,46,47,48,50,52,55,59,60,67,79,55
3,13,14,16,21,23,24,25,31,39,46,48,50,51,56,57,61,62,69,73,16
6,9,11,12,17,20,30,35,40,43,44,49,51,52,54,59,61,75,76,79,61
4,7,8,9,17,20,28,33,39,42,45,49,53,56,57,59,62,68,73,74,68
1,2,11,12,14,19,21,24,37,42,45,48,53,59,60,61,62,66,70,76,60
2,6,8,11,13,14,15,17,21,23,24,31,34,45,54,55,61,62,65,80,45
2,8,10,14,15,16,17,19,30,33,34,36,43,46,47,49,58,63,66,74,58
6,10,11,15,16,17,18,27,38,39,41,42,49,54,58,66,68,74,76,80,6
1,2,4,13,20,23,30,36,41,46,47,50,60,62,65,72,74,77,78,80,30
8,10,17,22,29,30,31,34,36,44,48,55,56,61,72,75,76,77,78,79,30
4,12,13,26,28,30,32,33,36,41,45,49,54,62,64,70,72,73,76,80,49
3,4,11,17,19,21,24,27,30,37,38,40,41,46,47,48,53,59,60,62,46
